column_name,data_type,null_count,missing_percentage,min_value,max_value,description,data_provider
u_wind_component,float64,9,0.27,-0.866994,2.713807,Feature u_wind_component in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
v_wind_component,float64,9,0.27,-2.168722,1.564969,Feature v_wind_component in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Wind Speed,float64,9,0.27,0.032551,2.816873,Feature Wind Speed in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Wind Direction,float64,9,0.27,0.375275,359.92245,Feature Wind Direction in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
HCHO,float64,9,0.27,7e-05,0.000441,Feature HCHO in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
NO2 Column,float64,9,0.27,7.8e-05,0.000338,Feature NO2 Column in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
CO Column,float64,9,0.27,0.006697,0.044858,Feature CO Column in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AOD_047,float64,1257,37.71,0.202,2.666,Feature AOD_047 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AOD_055,float64,1257,37.71,0.152,2.164,Feature AOD_055 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AOD,float64,1257,37.71,0.152,2.164,Feature AOD in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
station_name,str,0,0.0,N/A,N/A,Feature station_name in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
city,str,0,0.0,N/A,N/A,Feature city in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
state,str,0,0.0,N/A,N/A,Feature state in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
agency,str,0,0.0,N/A,N/A,Feature agency in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
latitude,float64,3,0.09,12.917348,28.63576,Feature latitude in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
longitude,float64,3,0.09,72.88261,88.363802,Feature longitude in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
timezone,str,0,0.0,N/A,N/A,Feature timezone in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
country,str,0,0.0,N/A,N/A,Feature country in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
data_source,str,0,0.0,N/A,N/A,Feature data_source in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
coordinate_status,str,0,0.0,N/A,N/A,Feature coordinate_status in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
elevation,float64,0,0.0,8.0,885.0,Feature elevation in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
land_cover_code,float64,0,0.0,10.0,50.0,Feature land_cover_code in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
land_cover_desc,str,0,0.0,N/A,N/A,Feature land_cover_desc in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
distance_to_coast,float64,0,0.0,10.53,932.25,Feature distance_to_coast in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
ts_utc,"datetime64[us, UTC]",0,0.0,N/A,N/A,Feature ts_utc in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
